                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5498,                 3.2433,                 1.5283,                0.65191,                0.45316,                0.48099,                0.24291,                 1.2533,                 2.9645,                 1.4273,               0.070366,              0.0032927,              0.0032927
                      1,                 1.5778,                 2.3322,                 1.4989,                0.61342,                0.44281,                0.49672,                0.25364,                    1.6,                 2.5964,                 1.7009,               0.040235,              0.0064948,              0.0064948
                      2,                 1.6444,                 2.2267,                 1.5623,                0.48689,                0.35403,                0.33695,                 0.1312,                 1.7936,                 3.0517,                 1.8826,              0.0099715,               0.009565,               0.009565
                      3,                 1.7538,                 2.3099,                 1.6545,                0.39173,                0.33987,                0.28976,                0.15202,                 1.6912,                 4.5882,                 1.9619,               0.009406,               0.009406,               0.009406
                      4,                 1.7779,                 2.2628,                  1.677,                0.41348,                0.47985,                0.33287,                0.15814,                 1.8886,                 3.1674,                  2.025,               0.009406,               0.009406,               0.009406
                      5,                 1.7641,                 2.1584,                 1.6614,                0.44925,                0.24782,                0.26223,                0.14364,                 2.1699,                 3.5299,                 2.3009,               0.009208,               0.009208,               0.009208
                      6,                 1.7445,                 2.0798,                 1.6323,                0.50423,                0.40943,                0.39112,                0.18474,                 1.8515,                  2.306,                  1.811,                0.00901,                0.00901,                0.00901
                      7,                 1.6905,                 1.9853,                 1.5994,                 0.6031,                0.49455,                0.49341,                0.24322,                 1.7974,                 2.2514,                 1.8466,               0.008812,               0.008812,               0.008812
                      8,                 1.6926,                 1.9599,                 1.5727,                 0.6101,                0.35839,                0.37322,                0.18252,                 1.9743,                 2.6183,                 2.0556,               0.008614,               0.008614,               0.008614
                      9,                 1.7105,                 1.9296,                 1.5908,                0.61886,                0.46895,                0.49332,                0.22926,                 1.7287,                 2.3111,                 1.8561,               0.008416,               0.008416,               0.008416
                     10,                 1.6227,                 1.8477,                 1.5648,                0.65278,                0.51688,                0.51203,                0.30303,                 1.6624,                 1.8913,                 1.6967,               0.008218,               0.008218,               0.008218
                     11,                 1.6233,                 1.8465,                 1.5335,                0.50296,                 0.5795,                0.49859,                0.24024,                 1.6921,                 1.8929,                 1.7471,                0.00802,                0.00802,                0.00802
                     12,                 1.6121,                 1.8178,                 1.5328,                0.56508,                0.51458,                0.52828,                0.28028,                 1.6073,                 1.9366,                 1.6675,               0.007822,               0.007822,               0.007822
                     13,                 1.5981,                 1.7408,                 1.5277,                0.69395,                0.52022,                0.54264,                0.29035,                 1.6186,                 1.9167,                 1.7237,               0.007624,               0.007624,               0.007624
                     14,                 1.5826,                 1.7695,                 1.5207,                 0.5196,                0.59804,                0.56244,                0.29327,                 1.6064,                 1.7659,                  1.612,               0.007426,               0.007426,               0.007426
                     15,                 1.5706,                 1.6856,                 1.5059,                0.72627,                 0.6124,                0.62707,                0.33509,                 1.6684,                 1.4933,                 1.6872,               0.007228,               0.007228,               0.007228
                     16,                 1.5558,                 1.6306,                  1.488,                0.81524,                0.63276,                0.71267,                0.37413,                 1.5079,                 1.5548,                 1.5874,                0.00703,                0.00703,                0.00703
                     17,                 1.5679,                 1.6443,                 1.4791,                0.63911,                0.45806,                 0.5049,                0.29756,                 1.5897,                 1.6808,                 1.6661,               0.006832,               0.006832,               0.006832
                     18,                  1.498,                 1.5959,                 1.4543,                0.65344,                0.54248,                0.57148,                0.32118,                 1.5772,                 1.6929,                  1.581,               0.006634,               0.006634,               0.006634
                     19,                 1.5014,                 1.5705,                 1.4578,                0.58922,                0.59141,                0.61364,                0.35778,                 1.4781,                 1.5432,                  1.566,               0.006436,               0.006436,               0.006436
                     20,                 1.4759,                   1.52,                 1.4295,                 0.7842,                0.72764,                0.73744,                0.42818,                 1.4044,                 1.3062,                 1.4969,               0.006238,               0.006238,               0.006238
