                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1849,                 1.0503,                 1.2251,                0.87961,                0.64589,                0.77178,                0.45054,                 1.3813,                  1.124,                 1.4055,               0.070366,              0.0032927,              0.0032927
                      1,                 1.2434,                 1.0762,                 1.2659,                 0.8706,                0.68122,                0.77139,                0.45057,                 1.4112,                  1.187,                 1.4512,               0.040235,              0.0064948,              0.0064948
                      2,                 1.2886,                 1.1907,                 1.3022,                0.82921,                0.60893,                0.66034,                0.39556,                 1.4132,                  1.222,                 1.4954,              0.0099715,               0.009565,               0.009565
                      3,                 1.3671,                 1.2799,                 1.3358,                 0.6971,                  0.648,                0.67358,                0.35675,                 1.4814,                 1.5224,                 1.4889,               0.009406,               0.009406,               0.009406
                      4,                 1.4085,                 1.3235,                 1.3664,                0.74012,                0.64366,                0.73265,                 0.4022,                 1.5647,                 1.2974,                 1.5638,               0.009406,               0.009406,               0.009406
                      5,                 1.4166,                 1.3906,                 1.3902,                0.74765,                 0.6015,                 0.6356,                0.31834,                 1.6499,                 1.5179,                  1.622,               0.009208,               0.009208,               0.009208
                      6,                 1.4183,                 1.4091,                 1.3941,                0.59884,                0.53922,                0.57154,                0.29906,                 1.6333,                 1.6462,                 1.6309,                0.00901,                0.00901,                0.00901
                      7,                 1.4509,                 1.4055,                 1.4019,                0.78957,                0.60893,                0.66631,                0.38622,                  1.486,                 1.3364,                 1.6249,               0.008812,               0.008812,               0.008812
                      8,                 1.4354,                 1.4028,                  1.402,                0.74623,                0.51548,                0.59196,                0.36336,                 1.4792,                 1.5254,                 1.5103,               0.008614,               0.008614,               0.008614
                      9,                 1.4348,                 1.3601,                 1.3823,                0.71716,                0.59041,                0.60463,                0.35062,                 1.4784,                 1.4772,                 1.5327,               0.008416,               0.008416,               0.008416
                     10,                 1.4108,                 1.3283,                 1.3684,                0.80707,                0.53136,                 0.6415,                 0.3617,                 1.5158,                 1.3337,                 1.5139,               0.008218,               0.008218,               0.008218
                     11,                 1.4056,                 1.3325,                 1.3692,                0.79371,                0.64216,                0.64304,                0.36018,                 1.5109,                 1.4799,                 1.4852,                0.00802,                0.00802,                0.00802
                     12,                 1.3886,                 1.3094,                 1.3614,                0.64775,                0.59895,                 0.6089,                0.34191,                 1.4791,                 1.4738,                 1.5625,               0.007822,               0.007822,               0.007822
                     13,                 1.3876,                 1.2877,                 1.3431,                0.78781,                0.56773,                0.67989,                0.38165,                  1.452,                 1.3614,                 1.5001,               0.007624,               0.007624,               0.007624
                     14,                 1.3641,                 1.2658,                 1.3413,                 0.7712,                0.55935,                 0.6626,                0.38565,                 1.4479,                 1.3803,                 1.5202,               0.007426,               0.007426,               0.007426
                     15,                 1.3815,                 1.2651,                 1.3526,                0.71871,                0.65686,                0.68566,                0.37366,                 1.5292,                  1.338,                 1.6347,               0.007228,               0.007228,               0.007228
                     16,                 1.3388,                 1.2411,                 1.3137,                0.84097,                0.58902,                0.68718,                0.39919,                 1.4862,                 1.2799,                 1.5276,                0.00703,                0.00703,                0.00703
